,,,,,,,
,,SKU,Description,EoL,,,
,,,,,,,
,,HW-MT-RT,路由器Ethernet Routers,,,,
,,HW-MT-RT-CCR1009-7G,CCR1009-7G-1C-1S+,No,,,
,,HW-MT-RT-CCR1009-8G,CCR1009-8G-1S-1S+,No,,,
,,HW-MT-RT-CCR1016,CCR1016-12S-1S+,No,,,
,,HW-MT-RT-CCR1036,CCR1036-8G-2S+,No,,,
,,HW-MT-RT-CCR2004-16G,CCR2004-16G-2S+,No,,,
,,HW-MT-RT-CCR2004-1G,CCR2004-1G-12S+2XS,No,,,
,,HW-MT-RT-CCR2116,CCR2116-12G-4S+,No,,,
,,HW-MT-RT-CCR2216,CCR2216-1G-12XS-2XQ,No,,,
,,HW-MT-RT-HEX S,E60iUGS(hEX S),No,,,
,,HW-MT-RT-1100AHx2,RB1100AHx2,No,,,
,,HW-MT-RT-1100AHx4,RB1100AHx4,No,,,
,,HW-MT-RT-1100AHx4D,RB1100AHx4 Dude Edition,No,,,
,,HW-MT-RT-RB260GS,RB260GS,No,,,
,,HW-MT-RT-RB4011iGS,RB4011iGS+RM,No,,,
,,HW-MT-RT-RB450G,RB450G,No,,,
,,HW-MT-RT-RB450Gx4,RB450Gx4,No,,,
,,HW-MT-RT-RB5009,RB5009UG+S+IN,No,,,
,,HW-MT-RT-hEX,RB750Gr3 (hEX),No,,,
,,HW-MT-RT-RB760,RB760iGS(hEX S),No,,,
,,HW-MT-RT-RB850,RB850x2,No,,,
,,HW-MT-RT-RB912,RB912UAG-2HPnD,No,,,
,,HW-MT-RT-RB912-O,RB912UAG-2HPnD-OUT,No,,,
,,HW-MT-RT-RB951,RB951G-2HnD,No,,,
,,,,,,,
,,,,,,, 
,,HW-MT-ST,交換器Switches,,,,
,,HW-MT-ST-CRS106,CRS106-1C-5S,No,,,
,,HW-MT-ST-CRS112,CRS112-8P-4S-IN,No,,,
,,HW-MT-ST-CRS125,CRS125-24G-1S-RM,No,,,
,,HW-MT-ST-CRS226,CRS226-24G-2S+RM,No,,,
,,HW-MT-ST-CRS212,CRS212-1G-10S-1S+IN,No,,,
,,HW-MT-ST-CRS305,CRS305-1G-4S+IN,No,,,
,,HW-MT-ST-CRS312,CRS312-1C+8XG-RM,No,,,
,,HW-MT-ST-CRS317,CRS317-1G-16S+RM,No,,,
,,HW-MT-ST-CRS326G,CRS326-24G-2S+RM,No,,,
,,HW-MT-ST-CRS326S,CRS326-24S+2Q+RM,No,,,
,,HW-MT-ST-CRS328,CRS328-24P-4S+RM,No,,,
,,HW-MT-ST-CRS354G,CRS354-48G-4S+2Q+RM,No,,,
,,HW-MT-ST-CRS354P,CRS354-48P-4S+2Q+RM,No,,,
,,HW-MT-ST-CRS504,CRS504-4XQ-IN,No,,,
,,HW-MT-ST-CRS520,CRS520-4XS-16XQ-RM,No,,,
,,,,,,,
,,,,,,,
,,HW-MT-WL,無線,,,,
,,HW-MT-WL-hAP ax²,C52iG-5HaxD2HaxD-TC(hAP ax²),No,,,
,,HW-MT-WL-hAP ax³,C53UiG+5HPaxD2HPaxD (hAP ax³),No,,,
,,HW-MT-WL-hAP ac2,RBD52G-5HacD2HnD-TC(hAP ac2),No,,,
,,HW-MT-WL-mAP,RBmAP2n (mAP),No,,,
,,HW-MT-WL-wAP ac,RBwAPG-5HacT2HnD (wAP ac),No,,,
,,,,,,,
,,,,,,,
,,HW-MT-AS,Accessories配件,,,,
,,HW-MT-AS-12POW150,12POW150熱插拔電源,No,,,
,,HW-MT-AS-PW48,PW48-12V150W 熱插拔電源,No,,,
,,HW-MT-AS-24V4APOW,24V4APOW電源供應器,No,,,
,,HW-MT-AS-48V2A96W,48V2A96W電源供應器,No,,,
,,HW-MT-AS--MH,MT-HotSwapFan熱插拔風扇,No,,,
,,HW-MT-AS--UP1302-12,UP1302C-12內建電源,No,,,
,,HW-MT-AS--G,GPeR連接器,No,,,
,,HW-MT-AS--K-79,RB5009支架,No,,,
,,HW-MT-AS--Q,Q+DA0001,No,,,
,,HW-MT-AS--S+31,S+31DLC10D,No,,,
,,HW-MT-AS--S+85,S+85DLC03D,No,,,
,,HW-MT-AS--S+DA0001,S+DA0001,No,,,
,,HW-MT-AS--S+DA0003,S+DA0003,No,,,
,,HW-MT-AS--S+RJ10,S+RJ10,No,,,
,,HW-MT-AS--S-31,S-31DLC20D,No,,,
,,HW-MT-AS--S-85,S-85DLC05D,No,,,
,,HW-MT-AS--S-RJ01,S-RJ01,No,,,
,,HW-MT-AS--XQ+31,XQ+31LC02D,No,,,
,,HW-MT-AS--XQ+85,XQ+85MP01D,No,,,
,,HW-MT-AS--XS+31,XS+31LC10D,No,,,
,,HW-MT-AS--XS+85,XS+85LC01D,No,,,
,,HW-MT-AS--XS+DA0003,XS+DA0003,No,,,
,,,,,,,
,,HW-MT-OT,其他,,,,
,,,,,,,
,,HW-MT-OT-R2,R11e-2HPnD,No,,,
,,HW-MT-OT-RBFTC11,RBFTC11,No,,,
,,HW-MT-OT-33G,RBM33G,No,,,
,,HW-MT-OT-CT5G,D53G-5HacD2HnD-TC&RG502Q-EA (Chateau 5G),No,,,
,,HW-MT-OT-CT LTE12,RBD53G-5HacD2HnD-TC&EG12-EA (Chateau LTE12),No,,,
,,HW-MT-OT-UP,UP1302C-12,No,,,
,,,,,,,
,,HW-MT-MA,Mikrotik硬體保固,,,,
